ticker,action,datetime,quantity,price,fees,asset_class,exchange,notes
AAPL,buy,2024-01-05 09:30:00,100,185.50,5.99,stock,NYSE,Initial position
AAPL,sell,2024-01-12 15:45:00,100,192.75,5.99,stock,NYSE,Closed at resistance - WIN
MSFT,buy,2024-01-08 10:15:00,50,375.25,4.99,stock,NASDAQ,Tech sector play
MSFT,sell,2024-01-18 14:30:00,50,390.00,4.99,stock,NASDAQ,Target reached - WIN
TSLA,buy,2024-01-10 11:00:00,30,245.00,3.99,stock,NASDAQ,EV momentum trade
TSLA,sell,2024-01-15 16:00:00,30,238.50,3.99,stock,NASDAQ,Stop loss hit - LOSS
NVDA,buy,2024-01-15 09:45:00,25,550.00,6.99,stock,NASDAQ,AI sector bet
NVDA,sell,2024-01-25 13:00:00,25,615.25,6.99,stock,NASDAQ,Great earnings run - WIN
BTC,buy,2024-01-02 08:00:00,0.5,42500.00,25.00,cryptocurrency,Coinbase,New year accumulation
BTC,sell,2024-01-20 12:00:00,0.5,43200.00,25.00,cryptocurrency,Coinbase,Small profit - WIN
ETH,buy,2024-01-05 14:00:00,2.5,2350.00,12.50,cryptocurrency,Coinbase,ETH position
ETH,sell,2024-01-22 10:30:00,2.5,2420.00,12.50,cryptocurrency,Coinbase,Modest gain - WIN
SOL,buy,2024-01-08 16:00:00,50,95.00,8.00,cryptocurrency,Coinbase,Solana play
SOL,sell,2024-01-12 09:00:00,50,88.50,8.00,cryptocurrency,Coinbase,Cut losses early - LOSS
GOOGL,buy,2024-01-18 10:00:00,20,140.50,3.99,stock,NASDAQ,Value play
GOOGL,sell,2024-01-28 15:00:00,20,145.00,3.99,stock,NASDAQ,Solid return - WIN
AMZN,buy,2024-01-20 11:30:00,15,155.25,4.50,stock,NASDAQ,E-commerce rebound
AMZN,sell,2024-01-30 14:45:00,15,160.75,4.50,stock,NASDAQ,Good momentum - WIN
META,buy,2024-01-22 09:15:00,25,385.00,5.25,stock,NASDAQ,Social media trade
META,sell,2024-02-01 16:30:00,25,470.50,5.25,stock,NASDAQ,Huge winner on earnings - WIN
AMD,buy,2024-01-25 10:45:00,40,165.00,4.00,stock,NASDAQ,Chip sector
AMD,sell,2024-02-02 11:00:00,40,168.50,4.00,stock,NASDAQ,Small gain - WIN
COIN,buy,2024-01-28 13:00:00,30,125.00,3.75,stock,NASDAQ,Crypto proxy
COIN,sell,2024-02-05 10:00:00,30,118.00,3.75,stock,NASDAQ,Crypto weakness - LOSS
JPM,buy,2024-02-01 09:30:00,25,170.00,4.25,stock,NYSE,Bank sector rotation
JPM,sell,2024-02-08 14:00:00,25,175.50,4.25,stock,NYSE,Solid financials - WIN
XOM,buy,2024-02-05 10:00:00,35,105.50,3.50,stock,NYSE,Energy play
XOM,sell,2024-02-12 15:30:00,35,103.00,3.50,stock,NYSE,Oil pullback - LOSS
DOGE,buy,2024-02-08 08:00:00,10000,0.085,5.00,cryptocurrency,Coinbase,Meme coin trade
DOGE,sell,2024-02-10 12:00:00,10000,0.092,5.00,cryptocurrency,Coinbase,Quick flip - WIN
AVAX,buy,2024-02-10 14:00:00,25,38.50,6.00,cryptocurrency,Coinbase,L1 play
AVAX,sell,2024-02-15 09:30:00,25,41.25,6.00,cryptocurrency,Coinbase,Solid DeFi momentum - WIN
SPY,buy,2024-02-12 09:30:00,50,495.00,0.00,stock,NYSE,Index hedge
SPY,sell,2024-02-12 15:55:00,50,495.00,0.00,stock,NYSE,Flat day trade - BREAK EVEN
QQQ,buy,2024-02-14 10:00:00,30,425.00,0.00,stock,NASDAQ,Tech index
QQQ,sell,2024-02-16 14:30:00,30,432.50,0.00,stock,NASDAQ,Quick tech bounce - WIN
DIS,buy,2024-02-15 11:00:00,40,95.00,3.80,stock,NYSE,Entertainment play
DIS,sell,2024-02-22 13:45:00,40,92.50,3.80,stock,NYSE,Streaming concerns - LOSS
NFLX,buy,2024-02-18 09:45:00,12,560.00,6.72,stock,NASDAQ,Streaming winner
NFLX,sell,2024-02-25 16:15:00,12,585.00,6.72,stock,NASDAQ,Password crackdown working - WIN
V,buy,2024-02-20 10:30:00,20,275.00,5.50,stock,NYSE,Payments sector
V,sell,2024-02-28 14:00:00,20,282.50,5.50,stock,NYSE,Steady performer - WIN
LINK,buy,2024-02-22 08:00:00,100,18.50,9.25,cryptocurrency,Coinbase,Oracle network
LINK,sell,2024-02-28 10:00:00,100,21.00,9.25,cryptocurrency,Coinbase,Strong altcoin - WIN
UNI,buy,2024-02-25 14:30:00,150,7.25,5.44,cryptocurrency,Coinbase,DEX token
UNI,sell,2024-03-01 11:00:00,150,6.80,5.44,cryptocurrency,Coinbase,DeFi weakness - LOSS
PYPL,buy,2024-02-28 09:30:00,35,62.00,2.17,stock,NASDAQ,Fintech recovery
PYPL,sell,2024-03-05 15:00:00,35,65.50,2.17,stock,NASDAQ,Bounce continues - WIN
